ID,robot,gender_category,age_mean,age_sd,age_ci_lower,age_ci_upper,femininity_mean,femininity_sd,femininity_ci_lower,femininity_ci_upper,masculinity_mean,masculinity_sd,masculinity_ci_lower,masculinity_ci_upper,neutrality_mean,neutrality_sd,neutrality_ci_lower,neutrality_ci_upper
100,h5,neutral,53.67741935,22.7484609,46.25225223,60.99329616,1.548387097,1.178663358,1.136252285,1.967296102,3.935483871,2.249970131,3.13909256,4.752713891,4.709677419,2.268531807,3.873701333,5.518105119
101,hospi,feminine,26.35483871,19.22073253,19.95731506,32.78113655,4.096774194,2.211407376,3.307559225,4.867666582,2.580645161,1.478156364,2.062086762,3.101010012,3.741935484,2.32332724,2.941329425,4.574606059
102,nextage,neutral,47.2,16.33992361,41.08928797,53.1301787,2.066666667,1.700574616,1.486715452,2.665951215,3.566666667,2.299675139,2.739044793,4.407821874,5.3,1.985290737,4.597703286,5.981563381
103,dru,neutral,24.56666667,16.92311892,18.93397261,30.59562739,2.3,1.664020888,1.701973107,2.86669356,2.533333333,1.942861972,1.873128604,3.194138062,5.533333333,1.833281086,4.906046049,6.195753951
104,s-one,masculine,44.29032258,16.18269353,38.53715012,50.14117246,1.387096774,0.667204084,1.15940306,1.618855004,4.580645161,2.232699316,3.788916042,5.325535571,4.096774194,2.256174324,3.343132588,4.868028702
105,surena III,masculine,45.66666667,13.88954788,40.79013566,50.27746434,2.366666667,1.629117242,1.753818315,2.940515019,4.166666667,2.422357548,3.284289831,5.026843502,4.533333333,2.56949389,3.623828958,5.432104375
106,acyut,masculine,51.74193548,21.44911458,44.53429887,59.33486242,1.35483871,0.98483119,1.000472222,1.709979391,4.903225806,2.357326716,4.082490967,5.724412258,3.870967742,2.41856618,3.056827177,4.701366372
107,aila,feminine,44.12903226,9.660027383,40.76182552,47.36178738,6.516129032,0.769023959,6.252194234,6.779676734,1.129032258,0.427546137,0.987035978,1.275480151,1.709677419,1.160274346,1.3207324,2.100557922
108,ami,neutral,36.38709677,18.22576458,30.22103371,42.90451467,2.258064516,1.769514848,1.652055274,2.884783435,3.870967742,1.99569429,3.196288576,4.544485617,4.064516129,2.032002032,3.369424124,4.741285553
109,moro,neutral,38.06451613,17.52319507,31.9152691,44.26718251,2.387096774,1.801433121,1.787900425,2.986035058,2.35483871,1.761597515,1.699724434,2.961178792,5.903225806,1.850312383,5.273176095,6.549856163
110,eywa e1,neutral,26.35483871,19.19991039,19.33496053,33.16168463,1.870967742,1.477428746,1.350406451,2.404496775,2,1.570562532,1.488975782,2.529282282,5.935483871,1.86074329,5.27964208,6.561648243
111,5e nanny bot,neutral,35.63333333,27.5549399,25.52997417,45.06255917,1.933333333,1.25762045,1.488343251,2.382856749,3.733333333,2.14850924,2.971206219,4.477727114,5.066666667,2.258063457,4.316920211,5.868146456
112,leka,feminine,8.451612903,9.868599055,5.141609774,12.00084184,4.387096774,2.201172708,3.62793822,5.179416619,2.064516129,1.459120371,1.539463739,2.595116907,4.161290323,2.281765021,3.383247949,4.903977858
113,cutii,neutral,28.06451613,21.75306183,20.32076798,35.38981266,1.870967742,1.431594344,1.376693714,2.361499835,3.709677419,2.003223209,2.994474259,4.412622515,4.677419355,2.196771825,3.932385291,5.458259871
114,heasy,neutral,26.70967742,20.82017219,19.24644825,33.62658401,1.806451613,1.249516035,1.380030324,2.229840644,2.516129032,1.78644839,1.876871243,3.139451337,5.935483871,1.69185271,5.359421995,6.541803812
115,yumi true smart,neutral,13.35483871,19.24672853,6.328760667,20.08298127,2.451612903,1.96364813,1.728477177,3.179006694,3.935483871,1.931070236,3.275105202,4.597475443,4.548387097,2.263311875,3.785367655,5.326567829
116,tapia,neutral,18.76666667,19.68840606,11.98456891,25.78449776,1.8,1.323527158,1.34339198,2.247541354,3.333333333,2.248882226,2.533383034,4.112216966,5.166666667,2.229633236,4.361870766,5.9637959
117,posy,feminine,31.25806452,25.58380704,22.80056181,40.5582769,5.032258065,2.121066885,4.249000084,5.792806367,2.032258065,1.448766624,1.519184567,2.563138014,3.193548387,2.182038112,2.427663869,3.946400647
118,furo,feminine,33.38709677,11.58642142,29.3730613,37.37661611,6.419354839,0.885971916,6.112036667,6.734931075,1.064516129,0.249731038,0.977958672,1.149202619,2.129032258,1.543630687,1.577075862,2.672085428
119,furo i-home,neutral,26.8,26.71742296,16.79183431,36.02469903,2.266666667,1.760355241,1.649005403,2.882794597,3.966666667,2.355965771,3.161443839,4.778689494,4,2.463527048,3.116951549,4.867315117
120,jimmy,masculine,30.80645161,31.38409295,20.14721988,41.4867156,1.483870968,0.851311449,1.189186519,1.776813481,4.225806452,2.140244183,3.494415697,4.975584303,4.677419355,2.300537572,3.915264442,5.420025881
121,mung,neutral,30.56666667,27.81302515,21.01225356,40.30067977,2,1.911850521,1.361062812,2.677337188,1.966666667,1.691425298,1.35312905,2.54727095,6.533333333,1.332183412,6.060426873,7.018039793
122,mabu,neutral,17.48387097,14.83210699,11.99160651,22.89587736,3.548387097,2.263311875,2.776178188,4.36085407,2.612903226,1.782833313,2.035488421,3.189027708,4.677419355,2.314981595,3.878185459,5.437362929
123,mitra,neutral,38.93548387,16.51854611,33.48319266,44.4022267,1.580645161,1.148163564,1.17234858,1.975909484,3.774193548,2.418121549,2.964796467,4.610171274,4.677419355,2.300537572,3.892708688,5.500194538
124,quori,neutral,41.87096774,21.13250567,34.47071361,49.09186703,3.419354839,2.262361503,2.681190988,4.213196108,2.516129032,1.85958719,1.886866592,3.112746312,4.419354839,2.217719452,3.675195615,5.150997934
125,babyloid,neutral,3.322580645,4.036393578,1.896284922,4.721521529,2.612903226,1.856114568,1.934046511,3.23259865,2.774193548,1.978377743,2.104362334,3.43273444,4.903225806,2.196282294,4.14275394,5.672342835
126,ira,feminine,38.22580645,12.69306813,33.73849398,42.76034473,5.419354839,1.96255265,4.718377928,6.106396265,1.612903226,1.229564133,1.168245212,2.056980594,2.935483871,2.322864379,2.127485669,3.73903046
127,cassie,neutral,49.70967742,22.20689615,42.22629233,57.2494496,1.548387097,1.150035063,1.151613973,1.946256995,2.64516129,1.992458901,1.979807794,3.306514787,6.129032258,1.431594344,5.643436287,6.628241132
128,r3-1,neutral,27.66666667,23.15961606,18.97906974,35.97133026,3.866666667,2.1772069,3.081389209,4.606477458,3.1,2.202662965,2.339748554,3.870918112,3.533333333,2.224213667,2.7495783,4.324955033
129,troy,masculine,26.29032258,15.02707234,21.30242341,31.4964153,2.258064516,1.861321071,1.578087184,2.925719268,4.35483871,2.025642073,3.669041112,5.069410501,3.774193548,1.94438812,3.119255051,4.429390111
